invoice_id,date,hsn_code,taxable_amount,gst_rate,gst_amount,vendor_id
EDGE001,2024-05-01,8471,10000.0,18,1800.0,V001
EDGE002,2024-05-02,8471,10000.0,18,1800.0,V001
EDGE003,2024-05-03,8471,20000.0,18,3600.0,V002
EDGE004,2024-05-04,8471,20000.0,18,3600.0,V002
EDGE005_INV,2024-05-05,8471,15000.0,18,2700.0,V004
EDGE006,2024-05-06,8471,12000.0,18,2160.0,V003
EDGE007,2024-05-07,8504,18000.0,18,3240.0,V004
EDGE008,2024-05-08,8471,10000.0,18,1800.0,V005
EDGE009,2024-05-09,8471,50000.0,18,9000.0,V006
EDGE010_INV,2024-05-10,8471,35000.0,18,6300.0,V007
EDGE011,2024-05-11,8471,22000.0,18,3960.0,V008
EDGE012,2024-05-12,8471,45000.0,18,8100.0,V009
EDGE013,2024-05-13,8471,3333.33,18,600.0,V010
EDGE014,2024-05-14,8471,14000.0,18,2520.0,V001
EDGE015,2024-05-15,8471,8000.0,18,1440.0,V002
EDGE016,2024-05-16,8471,16000.0,18,2880.0,V003
EDGE017,2024-05-17,8471,27000.0,18,4860.0,V004
EDGE018,2024-05-18,8471,50000.0,18,9000.0,V005
EDGE019,2024-05-19,8471,31000.0,18,5580.0,V006
EDGE020,2024-05-20,8471,42000.0,18,7560.0,V007
EDGE021,2024-05-21,8471,1000000.0,18,180000.0,V008
EDGE022,2024-05-22,8471,1000000.0,18,180000.0,V008
EDGE023_INV,2024-05-23,8471,28000.0,18,5040.0,V008
EDGE024,2024-05-24,8471,64000.0,18,11520.0,V009
