invoice_id,date,hsn_code,taxable_amount,gst_rate,gst_amount,vendor_id
EDGE001,2024-05-01,8471,10005.0,18,1800.9,V001
EDGE002,2024-05-02,8471,10005.01,18,1800.9,V001
EDGE003,2024-05-03,8471,19995.0,18,3599.1,V002
EDGE004,2024-05-04,8471,19994.99,18,3599.1,V002
EDGE005_RET,2024-05-05,8471,15000.0,18,2700.0,V0O4
EDGE006,2024-05-06,8472,12000.0,18,2160.0,V003
EDGE007,2024-05-07,8507,18000.0,18,3240.0,V004
EDGE008,2024-05-08,8471,10000.0,28,2800.0,V005
EDGE009,2024-05-09,8471,25000.0,18,4500.0,V006
EDGE010_RET,2024-05-11,8471,35000.0,18,6300.0,V007
EDGE011,2024-05-11,8471,22000.0,18,3960.0,V008
EDGE011,2024-05-11,8471,22000.0,18,3960.0,V008
EDGE012,2024-05-12,8471,45000.0,18,8100.0,V009
EDGE012,2024-05-12,8471,45000.05,18,8100.01,V009
EDGE013,2024-05-13,8471,3333.33,18,599.99,V010
EDGE015,2024-05-15,8471,8000.0,18,1440.0,V002
EDGE016,2024-05-16,9018,16000.0,12,1920.0,V003
edge017,2024-05-17,8471,27000.0,18,4860.0,V004
EDGE018,2024-05-18,8471,48000.0,18,8640.0,V005
EDGE020,2024-05-20,8471,42000.0,18,7560.0,V007
EDGE021,2024-05-21,8471,1000004.9,18,180000.88,V008
EDGE022,2024-05-22,8471,1000010.0,18,180001.8,V008
EDGE023_RET,2024-05-23,8471,28000.0,18,5040.0,V080
EDGE024,2024-05-24,8471,64000.0,18,11520.0,V009
