invoice_id,date,hsn_code,taxable_amount,gst_rate,gst_amount,vendor_id,original_value,difference,original_gst_rate,original_hsn
INV00037,2024-04-09,8507,59242.56,5,2962.13,V004,,,,
INV00040,2024-06-05,8528,67228.81,18,12101.18,V004,,,,
INV00034,2024-05-04,9018,96471.93,28,27012.14,V009,,,,
INV00049,2024-06-01,8528,90341.84,28,25295.72,V003,,,,
INV00030,2024-04-03,8473,87993.47,18,15838.82,V005,,,,
INV00057,2024-06-24,9027,93535.92,18,16836.47,V004,,,,
INV00020,2024-06-08,8504,89884.48,28,25167.65,V007,,,,
INV00006,2024-04-21,8419,28509.26,18,5131.67,V004,,,,
INV00021,2024-05-17,8528,51443.1,12,6173.17,V002,,,,
INV00017,2024-05-11,8419,7556.67,18,1359.48,V010,7552.67,4.0,,
INV00013,2024-04-21,8507,21741.2,18,3913.42,V005,,,,
INV00036,2024-05-27,9018,12979.42,28,3634.24,V004,,,,
INV00045,2024-04-14,8528,19830.68,12,2379.68,V008,,,,
INV00055,2024-06-16,8473,40973.78,12,4916.85,V010,,,,
INV00015,2024-04-21,8421,27724.83,28,7762.95,V009,,,,
INV00024,2024-06-07,8504,68348.06,12,8201.77,V002,,,5.0,
INV00025,2024-06-27,9018,77091.27,18,13876.43,V006,,,,
INV00060,2024-04-02,8421,8252.81,5,412.64,V004,,,,
INV00026,2024-04-15,8504,16657.62,28,4664.13,V001,,,,
INV00039,2024-04-30,8473,86103.9,5,4305.19,V002,,,,
INV00053,2024-04-07,9027,50782.19,28,14219.01,V009,,,,
INV00035,2024-06-28,8528,40500.24,18,7290.04,V006,,,,
INV00027,2024-05-04,9018,51260.49,12,6151.26,V002,,,,
INV00058,2024-06-25,8507,27295.84,12,3275.5,V003,,,,
INV00012,2024-04-13,8419,45887.62,18,8259.77,V006,,,,
INV00002,2024-04-29,8517,67993.25,5,3399.66,V009,,,,
INV00041,2024-06-09,8517,25056.73,28,7015.88,V008,,,,
INV00048,2024-04-02,8473,17464.8,12,2095.78,V008,,,,
INV00023,2024-06-16,8517,38780.31,28,10858.49,V008,,,,8473.0
INV00035,2024-06-28,8528,40500.25,18,7290.04,V006,,,,
INV00031,2024-05-01,8471,87922.95,12,10550.75,V002,,,,
INV00005,2024-05-24,8528,59337.3,28,16614.44,V001,,,,
INV00007,2024-05-14,8473,38612.8,5,1930.64,V006,,,,
INV00043,2024-05-16,8419,47235.44,28,13225.92,V001,,,,
INV00052,2024-04-28,8471,75049.58,5,3752.48,V001,,,,
INV00029,2024-06-09,9018,60295.51,18,10853.19,V008,,,5.0,
INV00010,2024-06-20,9027,58157.86,18,10468.41,V002,,,,
INV00047,2024-04-10,8421,6008.24,5,300.41,V009,,,,
INV00008,2024-05-15,9027,80905.7,18,14563.03,V008,,,,
INV00054,2024-04-21,8471,85282.91,5,4264.15,V002,,,,
INV00001,2024-06-21,8473,74413.5,5,3720.68,V004,,,,
INV00003,2024-04-12,9027,4146.49,28,1161.02,V002,,,,
INV00059,2024-06-25,8504,32301.54,28,9044.43,V002,,,,
INV00028,2024-06-20,8504,16131.09,12,1935.73,V003,,,,
INV00051,2024-05-07,8419,16324.89,28,4570.97,V005,,,,
INV00005,2024-05-24,8528,59337.31,28,16614.44,V001,,,,
INV00004,2024-04-28,8528,56563.26,5,2828.16,V009,,,,
INV00050,2024-05-19,8471,27255.1,28,7631.43,V008,,,,
INV00032,2024-04-11,8421,97820.46,5,4891.02,V009,,,,
INV00033,2024-04-17,8473,94738.02,28,26526.65,V003,,,,8517.0
INV00018,2024-05-11,8528,40167.56,28,11246.92,V008,,,,
INV00040,2024-06-05,8528,67228.8,18,12101.18,V004,,,,
INV00042,2024-05-23,8528,10600.15,5,529.81,V007,10596.15,4.0,,
INV00056,2024-05-02,9027,62318.77,5,3115.94,V007,,,,
INV00022,2024-04-07,8473,63117.16,12,7574.06,V007,,,,
INV00044,2024-06-26,8473,40859.51,5,2042.98,V006,,,,
INV00014,2024-06-29,8473,53879.85,12,6465.58,V004,,,,
INV00038,2024-06-15,8528,8028.32,5,401.42,V001,,,,
INV00020,2024-06-08,8504,89884.47,28,25167.65,V007,,,,
INV00019,2024-04-19,8504,25416.12,18,4574.9,V009,,,12.0,
INV00009,2024-06-08,8473,8801.22,18,1584.22,V005,,,28.0,
